	V350166995_163.27	V350166995_164_1	V350166995_166.87	V350166995_168.28	V350166995_169_4	V350166995_57_4	V350166995_72.48	V350166995_86.77	V350174473_26_1	V350174473_37.114	V350174473_42.57	V350174473_52.35	V350174473_66.56	V350174473_72.72_sub	V350181201_19_1	V350181201_30_2	V350181201_31.45	V350181201_44_2	V350181262_107.4	V350181262_108_1	V350181262_110_3	V350181262_117_2	V350181262_130_7	V350181262_134_29	V350181262_140_9	V350181262_142_6	V350181262_145_2	V350181262_149_1	V350181262_150_0	V350181262_158_8	V350181262_160_0	V350181262_98.46	V350181262_99.39	V350181321_113_0	V350181321_126_25	V350181321_132_0	V350181321_139_33	V350181323_162_0	V350181323_32_0	V350181323_34_8	V350181323_49_5	V350181323_51.95
V350181262_130_7	0.9027277575248935	0.8806745521781322	0.9045709739743153	0.8857100894332398	0.9295643735739201	0.9271098988521422	0.8896951576665181	0.9283684334758321	0.922873753136283	0.8904452429034768	0.8924014092510513	0.8740835934153357	0.8952863524701233	0.8956577233426876	0.9031491340799217	0.9181805624765051	0.8846040196875519	0.8794964462744892	0.8899742103560719	0.885736665879864	0.9236479669892558	0.8866745346936278	1.0	0.9112224291221904	0.9283044401898817	0.9211518791471058	0.9251607263063111	0.8596277549022179	0.9215225506394957	0.9020633463592891	0.8954632956542264	0.9807471128712179	0.9242515320796943	0.9313523389895705	0.8691281351901877	0.9247701224789531	0.8998284770122479	0.91012160472781	0.9204556461835698	0.8898532175859145	0.931935971745041	0.9116850691075035
V350181262_134_29	0.8900036981386036	0.8695583223111034	0.8617589146796113	0.8557689296387485	0.9364419908645981	0.9338123144683842	0.8590959217194012	0.8836059183544283	0.8905864048428958	0.8581870458535871	0.870695416640291	0.8597146103128093	0.9063354778095025	0.925308594674014	0.8634220775542977	0.9225436530279759	0.8480101682153316	0.8571668926640258	0.8671898477766191	0.8515770395567565	0.8856292332859128	0.8568613797721814	0.8696149604698968	1.0	0.8838131473824842	0.8827936605242028	0.8828939433818311	0.8258729772681084	0.8751645005347308	0.9155525052390296	0.8680774010414758	0.8704415444226407	0.9310930165150207	0.9375384389857105	0.826469676929279	0.8615870012093912	0.8628763522360412	0.920258136737842	0.9311739757655314	0.8967169857838222	0.9390076994579395	0.9096578055711958
V350181262_140_9	0.821388758372258	0.7758756526698353	0.8962165432875866	0.8177671819076905	0.8139081493791817	0.8093825161605346	0.8224292260566869	0.8879994935855657	0.9046689687125632	0.8154333365132831	0.8051588295763861	0.7600389083202643	0.8070124133946618	0.778990814700165	0.8476465251024345	0.8022169302310099	0.8610614553530591	0.7707407767339419	0.7812667077385416	0.9052791030045176	0.8882839059174705	0.7855539933185391	0.7888644102099569	0.7869730830623689	1.0	0.8900848868279644	0.9215937313976652	0.7889696160255204	0.8836325606649721	0.7911082065588396	0.7920223678262784	0.7956653420838419	0.8567512860222186	0.8455459750899971	0.7719738245553346	0.8818859658116762	0.8460526867158044	0.8293950992515825	0.8336907061955229	0.7889179046924468	0.7978654512720245	0.8453397241408415
V350181262_142_6	0.8843766189886249	0.833372484031342	0.9553395652663588	0.8841420365871318	0.8910273035895291	0.8867366016121506	0.891053690087365	0.9531720110051003	0.9531118369185719	0.8465943719530835	0.8365517352340193	0.8154698888227438	0.8605081009766222	0.8404141393014014	0.9206538702878381	0.8596280147378244	0.9214493266616254	0.8202065869708622	0.8369645873891848	0.8965536659533732	0.9844696153041688	0.8593895708976236	0.8477376795971232	0.8512782971055299	0.9636519556578121	1.0	0.9569967660450823	0.8392151625826589	0.958978971248371	0.8484282335526845	0.8363490097018648	0.8570521133332261	0.9025305294997827	0.9115067655624025	0.8330999308158898	0.914590767943623	0.9230804627290718	0.8840834714333983	0.8812012292246553	0.8490441330265635	0.8595095972841215	0.9088288578186089
V350181262_145_2	0.8505957178980378	0.7967915521055324	0.8949945219227377	0.837971295611281	0.8474524180220767	0.8402557703845205	0.8482121715147344	0.9160041444445671	0.923686028265161	0.8417354033472095	0.8165914581255284	0.7861218770972203	0.8288484259576206	0.8031465511424214	0.8717899878169525	0.8297222804996399	0.8976387830693673	0.7881306076678359	0.8044458308335388	0.8714614872151615	0.9168099064248706	0.8111937423549229	0.8113544653384323	0.8114059948445956	0.951407062241509	0.9122228602065843	1.0	0.8027300209676015	0.8937789776791356	0.8220054302284352	0.811566717828105	0.8191645594779325	0.882916373745962	0.8760068190713156	0.7952993434895537	0.9029861962268133	0.8720988581306813	0.8561866693167556	0.8631048122424292	0.8120936683732748	0.8286803416160881	0.8746974175129161
V350181262_149_1	0.7481725340575148	0.8175693487799452	0.7498534653374758	0.698337596419808	0.7475043359964042	0.7418759753490098	0.7005860814658385	0.7381438447150023	0.753814904848253	0.9064925863468007	0.8137248510778947	0.8038697159600694	0.7202425984984557	0.6963390065836237	0.7202872022201217	0.719635015751404	0.7121744714601943	0.7916337142376795	0.8019777747660735	0.7256636662086208	0.7496567514880774	0.9028814004196181	0.7031247766239901	0.7079559887072526	0.7587456175413857	0.7457144687039131	0.7482420129316483	1.0	0.7463735172836562	0.7151474810620032	0.8314388188477029	0.7090793734663897	0.763688338928813	0.7765144821993981	0.680780313518416	0.7344940594133009	0.7272056397403148	0.7491472397444321	0.741231508755196	0.6964882574984289	0.7178345693710818	0.758675280903374
V350181262_150_0	0.8818018704801192	0.8270870055097964	0.9407479211692146	0.8701940844018521	0.895137796507087	0.8903400233858386	0.8826003169277742	0.9456072868880001	0.9355818823600736	0.8495383134979372	0.8373191160849552	0.8146933494828479	0.8708229093505302	0.8330801909821988	0.9047362450185777	0.865329559093744	0.9063215288379122	0.8348866921937348	0.8349882716085213	0.8912397267739475	0.9633446650813828	0.8594824544940346	0.8497634005821306	0.8456060614855361	0.9588200277198936	0.9609180457281503	0.9396950424730943	0.8413510126661469	1.0	0.8537240303358055	0.8331414611054033	0.8573015605822855	0.9060816079344165	0.9191650365589151	0.8168410285383335	0.8938940130060348	0.9116720229653321	0.8890117516096306	0.8849401906855224	0.8464741623890446	0.8568055950586613	0.9052531713738246
V350181262_158_8	0.9333670440361455	0.8608758174985427	0.8716902333598203	0.8679402816579618	0.9803363566569958	0.9717922054359348	0.8622752036501635	0.9012782628124469	0.8946294146601239	0.8704998311664968	0.8696880864024352	0.8502848330396247	0.9466005668101891	0.9113477953368354	0.8661639180124349	0.9599899875852778	0.8599673084579705	0.8588078170751989	0.8719775023057112	0.8617813026554738	0.8905975698055139	0.8690856615837422	0.8677346575703767	0.9227955468273581	0.8955574109508266	0.8868919683970561	0.9013804028820971	0.840681650570086	0.8906335204221342	1.0	0.868207727366651	0.8702085303757512	0.9885808074105309	0.9897913688281275	0.8284621367769768	0.866227419568895	0.8720914019228541	0.9659769412073024	0.9875852777185133	0.9345796213761695	0.9367773128090031	0.9598088905538915
V350181262_160_0	0.7194787945545189	0.9324530009688418	0.7201153123060007	0.6929107973322515	0.733447711638705	0.7304396964240554	0.6975790538224298	0.7212932010913466	0.7280784031016175	0.8294799831990202	0.871770630773096	0.8410815396338478	0.7102192263110183	0.7115846506557264	0.7020269560303576	0.7197896071654027	0.6962453450502609	0.8240276625981563	0.8746597815376206	0.7053623311111289	0.7214799092879468	0.8199757913655871	0.7066215772347275	0.7178436499494344	0.7350158398600765	0.7168243390267842	0.7297356107136859	0.8011028194040837	0.7128918838195146	0.712341687582857	1.0	0.7110703068054173	0.7382717881157062	0.7531003351094974	0.6753260291910129	0.7112272299425892	0.6991675903252611	0.7235543835195957	0.7292571192497254	0.715760350514992	0.730763195263955	0.7362276505186599
V350181262_98.46	0.8952393664108832	0.8679041354028418	0.8988455430950123	0.874088505389021	0.9136147409248556	0.9110547329096047	0.8798305954755007	0.9159688777687957	0.9140779510603052	0.8787906029417618	0.8791622004059779	0.8615708519360811	0.890958618522092	0.8833715796220479	0.8896763842434441	0.8970119171958699	0.8800917087444466	0.8654292208050661	0.8785281171983405	0.8771007437439182	0.9153454312383426	0.8757128289306639	0.9623447902927625	0.8949096294181669	0.9187155423127018	0.9137698305405765	0.9164633116985607	0.850793496117956	0.9122257967557449	0.8876814925934415	0.8845073022504464	1.0	0.9166033040950521	0.9216924394498573	0.8549586130321941	0.9154881685837848	0.8856577789794554	0.9056368899179398	0.9119094413891637	0.8754891155911728	0.9096465740978382	0.9064545415866628
